Sampling time,Reactor Temperature,Jacket Temperature,Heater current,Coolant flowrate,,,,,,,,,,,,,
150.5,48.03950619,37.9781099,20,8,,,,,,,,,,,,,
151,47.9773342,37.85112463,20,8,,,,,,,,,,,,,
151.5,48.31928013,37.29238945,20,8,,,,,,,,,,,,,
152,48.66122606,38.20668338,20,8,,,,,,,,,,,,,
152.5,48.03950619,37.9781099,20,8,,,,,,,,,,,,,
153,47.9773342,37.74953641,20,8,,,,,,,,,,,,,
153.5,47.23127036,38.43525686,20,8,,,,,,,,,,,,,
154,48.25710814,38.56224213,20,8,,,,,,,,,,,,,
154.5,47.35561433,37.2669924,20,8,,,,,,,,,,,,,
155,48.53688208,37.29238945,20,8,,,,,,,,,,,,,
155.5,49.00317198,38.76541855,20,8,,,,,,,,,,,,,
156,48.35036612,37.24159534,20,8,,,,,,,,,,,,,
156.5,47.9773342,38.18128632,20,8,,,,,,,,,,,,,
157,48.69231205,38.10509516,20,8,,,,,,,,,,,,,
157.5,48.03950619,37.9781099,20,8,,,,,,,,,,,,,
158,47.13801238,37.85112463,20,8,,,,,,,,,,,,,
158.5,49.25185993,38.79081561,20,8,,,,,,,,,,,,,
159,47.82190423,37.85112463,20,8,,,,,,,,,,,,,
159.5,48.31928013,38.53684507,20,8,,,,,,,,,,,,,
160,48.03950619,37.9781099,20,8,,,,,,,,,,,,,
160.5,48.75448404,39.04478614,20,8,,,,,,,,,,,,,
161,47.9773342,37.54635999,20,8,,,,,,,,,,,,,
161.5,47.60430228,36.73365427,20,8,,,,,,,,,,,,,
162,47.54213029,37.9781099,20,8,,,,,,,,,,,,,
162.5,47.85299023,37.80033052,20,8,,,,,,,,,,,,,
163,48.03950619,37.9781099,20,8,,,,,,,,,,,,,
163.5,48.22602215,38.10509516,20,8,,,,,,,,,,,,,
164,49.37620391,38.96859498,20,8,,,,,,,,,,,,,
164.5,48.22602215,38.05430106,20,8,,,,,,,,,,,,,
165,48.75448404,38.23208043,20,8,,,,,,,,,,,,,
165.5,48.25710814,38.10509516,20,8,,,,,,,,,,,,,
166,48.31928013,38.23208043,20,8,,,,,,,,,,,,,
166.5,48.22602215,38.33366865,20,8,,,,,,,,,,,,,
167,47.54213029,37.03841892,20,8,,,,,,,,,,,,,
167.5,49.34511791,38.56224213,20,8,,,,,,,,,,,,,
168,48.38145212,38.23208043,20,8,,,,,,,,,,,,,
168.5,48.22602215,38.00350695,20,8,,,,,,,,,,,,,
169,47.5110443,37.62255115,20,8,,,,,,,,,,,,,
169.5,48.35036612,38.05430106,20,8,,,,,,,,,,,,,
170,48.38145212,37.95271284,20,8,,,,,,,,,,,,,
170.5,48.50579609,38.25747748,20,8,,,,,,,,,,,,,
171,47.5110443,37.2669924,20,8,,,,,,,,,,,,,
171.5,48.16385016,38.33366865,20,8,,,,,,,,,,,,,
172,48.31928013,37.36858061,20,8,,,,,,,,,,,,,
172.5,48.4747101,38.30827159,20,8,,,,,,,,,,,,,
173,47.94624821,38.23208043,20,8,,,,,,,,,,,,,
173.5,48.38145212,38.05430106,20,8,,,,,,,,,,,,,
174,48.35036612,38.05430106,20,8,,,,,,,,,,,,,
174.5,48.38145212,38.07969811,20,8,,,,,,,,,,,,,
175,48.31928013,38.30827159,20,8,,,,,,,,,,,,,
175.5,48.25710814,38.05430106,20,8,,,,,,,,,,,,,
176,49.00317198,39.04478614,20,8,,,,,,,,,,,,,
176.5,48.53688208,38.07969811,20,8,,,,,,,,,,,,,
